#ENV|APP|USER|HOST
#PU|PW|oracle|lxoramt02
#INT|PW|oracle|i01lxoramt02
#UAT|PW|oracle|u01lxoramt02
#PU|PW|gateway|lxoramt02
#INT|PW|gateway|i01lxoramt02
#UAT|PW|gateway|u01lxoramt02
#PU|PW|adobe|lxoramt02
#INT|PW|adobe|i01lxoramt02
#UAT|PW|adobe|u01lxoramt02
#PU|MQ|mqm|slmaai02
#UAT|MQ|mqm|slmaai02t
#INT|MQ|mqm|i01lxoramt02
#PU|MUW|oracle|mamt01
#UAT|MUW|oracle|mamt01t
#INT|MUW|oracle|i01lxoramt01
#PU|FUZZY|fuzzy|mamt01
#UAT|FUZZY|fuzzy|mamt01t
#INT|FUZZY|fuzzy|i01lxoramt01
#UAT|Falcon|yf50116|u01lxfalcon01
#UAT|Falcon|yf50116|u01lxfalcon02
#PU|Falcon|yf50116|lxfalcon01
#PU|Falcon|yf50116|lxfalcon02
#PU|PW|oracle|slmadb01
#INT|PW|oracle|i01axdb02
#UAT|PW|oracle|slmadb01t
#DEV|RAPS|yf50116|d21lxactico01
#DEV|RAPS|oracle|d21axdb01
#INT|RAPS|yf50116|i21lxactico01
#INT|RAPS|oracle|i21axdb01
#UAT|RAPS|yf50116|u21lxactico01
#UAT|RAPS|oracle|u21axdb01
#PU|RAPS|oracle|lxactico01
#PU|RAPS|oracle|axdb21
#PU|ESB|yf50116|lxesb
#UAT|ESB|yf50116|u21lxesb
#INT|ESB|yf50116|i21lxesb
#DEV|ESB|yf50116|d21lxesb
#PU|DEP|www|madpl01
